filename, frequency
Wave144.csv, 3.739077e+05
Wave005.csv, 3.745853e+05
Wave184.csv, 3.747702e+05
Wave091.csv, 3.787471e+05
Wave275.csv, 3.835883e+05
Wave358.csv, 3.870874e+05
Wave257.csv, 3.876679e+05
Wave412.csv, 3.898531e+05
Wave055.csv, 3.945369e+05
Wave304.csv, 3.949560e+05
Wave027.csv, 3.983260e+05
Wave380.csv, 3.996820e+05
Wave320.csv, 4.018006e+05
Wave388.csv, 4.018898e+05
Wave071.csv, 4.053581e+05
Wave000.csv, 4.107195e+05
Wave031.csv, 4.196320e+05
Wave185.csv, 4.283849e+05
Wave193.csv, 4.308939e+05
Wave338.csv, 4.326078e+05
Wave044.csv, 4.334621e+05
Wave119.csv, 4.346015e+05
Wave337.csv, 4.354568e+05
Wave104.csv, 4.355385e+05
Wave133.csv, 4.378307e+05
Wave023.csv, 4.402588e+05
Wave107.csv, 4.410958e+05
Wave231.csv, 4.448541e+05
Wave068.csv, 4.450673e+05
Wave366.csv, 4.471220e+05
Wave355.csv, 4.482892e+05
Wave305.csv, 4.500645e+05
Wave382.csv, 4.526316e+05
Wave043.csv, 4.526703e+05
Wave343.csv, 4.598968e+05
Wave048.csv, 4.605412e+05
Wave085.csv, 4.635116e+05
Wave004.csv, 4.644461e+05
Wave053.csv, 4.679396e+05
Wave333.csv, 4.706064e+05
Wave360.csv, 4.706421e+05
Wave330.csv, 4.723299e+05
Wave116.csv, 4.723540e+05
Wave258.csv, 4.725148e+05
Wave190.csv, 4.737304e+05
Wave340.csv, 4.805664e+05
Wave072.csv, 4.826832e+05
Wave384.csv, 4.829370e+05
Wave311.csv, 4.849877e+05
Wave109.csv, 4.932741e+05
Wave410.csv, 4.966648e+05
Wave202.csv, 5.007666e+05
Wave075.csv, 5.057655e+05
Wave042.csv, 5.071818e+05
Wave126.csv, 5.153073e+05
Wave154.csv, 5.164200e+05
Wave061.csv, 5.183901e+05
Wave087.csv, 5.219292e+05
Wave191.csv, 5.238958e+05
Wave204.csv, 5.255725e+05
Wave316.csv, 5.259200e+05
Wave224.csv, 5.277450e+05
Wave250.csv, 5.284889e+05
Wave150.csv, 5.297963e+05
Wave391.csv, 5.299237e+05
Wave274.csv, 5.304219e+05
Wave390.csv, 5.317489e+05
Wave219.csv, 5.380297e+05
Wave291.csv, 5.423609e+05
Wave418.csv, 5.439576e+05
Wave057.csv, 5.443408e+05
Wave168.csv, 5.456015e+05
Wave294.csv, 5.482920e+05
Wave182.csv, 5.519407e+05
Wave263.csv, 5.523339e+05
Wave134.csv, 5.542169e+05
Wave112.csv, 5.548567e+05
Wave207.csv, 5.563608e+05
Wave022.csv, 5.569557e+05
Wave239.csv, 5.581683e+05
Wave181.csv, 5.593863e+05
Wave397.csv, 5.608633e+05
Wave369.csv, 5.609902e+05
Wave215.csv, 5.628537e+05
Wave235.csv, 5.659726e+05
Wave167.csv, 5.700959e+05
Wave074.csv, 5.709036e+05
Wave248.csv, 5.711423e+05
Wave041.csv, 5.714963e+05
Wave396.csv, 5.747396e+05
Wave200.csv, 5.747634e+05
Wave387.csv, 5.756297e+05
Wave198.csv, 5.760764e+05
Wave345.csv, 5.778441e+05
Wave177.csv, 5.787534e+05
Wave331.csv, 5.813568e+05
Wave095.csv, 5.819949e+05
Wave267.csv, 5.884042e+05
Wave212.csv, 5.884444e+05
Wave381.csv, 5.897209e+05
Wave175.csv, 5.926416e+05
Wave321.csv, 5.932533e+05
Wave232.csv, 5.959443e+05
Wave313.csv, 5.965671e+05
Wave139.csv, 6.005872e+05
Wave050.csv, 6.021575e+05
Wave373.csv, 6.069323e+05
Wave272.csv, 6.102771e+05
Wave264.csv, 6.121452e+05
Wave156.csv, 6.122013e+05
Wave099.csv, 6.122437e+05
Wave153.csv, 6.131391e+05
Wave090.csv, 6.171812e+05
Wave093.csv, 6.186467e+05
Wave086.csv, 6.243623e+05
Wave278.csv, 6.259274e+05
Wave244.csv, 6.289610e+05
Wave227.csv, 6.295139e+05
Wave242.csv, 6.296130e+05
Wave353.csv, 6.310342e+05
Wave229.csv, 6.384559e+05
Wave040.csv, 6.391663e+05
Wave178.csv, 6.407054e+05
Wave098.csv, 6.410166e+05
Wave205.csv, 6.451010e+05
Wave226.csv, 6.514456e+05
Wave254.csv, 6.545408e+05
Wave323.csv, 6.550123e+05
Wave159.csv, 6.588904e+05
Wave252.csv, 6.628701e+05
Wave344.csv, 6.668871e+05
Wave365.csv, 6.673253e+05
Wave266.csv, 6.686899e+05
Wave375.csv, 6.697167e+05
Wave026.csv, 6.704252e+05
Wave241.csv, 6.710913e+05
Wave292.csv, 6.736746e+05
Wave332.csv, 6.744561e+05
Wave192.csv, 6.790914e+05
Wave199.csv, 6.802047e+05
Wave372.csv, 6.817369e+05
Wave137.csv, 6.823531e+05
Wave210.csv, 6.861140e+05
Wave283.csv, 6.890603e+05
Wave081.csv, 7.016108e+05
Wave322.csv, 7.044928e+05
Wave225.csv, 7.059707e+05
Wave018.csv, 7.064301e+05
Wave033.csv, 7.069481e+05
Wave101.csv, 7.135799e+05
Wave146.csv, 7.221001e+05
Wave128.csv, 7.234640e+05
Wave268.csv, 7.277519e+05
Wave121.csv, 7.290558e+05
Wave253.csv, 7.302273e+05
Wave172.csv, 7.309726e+05
Wave203.csv, 7.314406e+05
Wave261.csv, 7.370005e+05
Wave218.csv, 7.379468e+05
Wave021.csv, 7.388238e+05
Wave176.csv, 7.392687e+05
Wave329.csv, 7.397428e+05
Wave308.csv, 7.400526e+05
Wave364.csv, 7.503483e+05
Wave171.csv, 7.582029e+05
Wave393.csv, 7.590344e+05
Wave195.csv, 7.654361e+05
Wave032.csv, 7.659537e+05
Wave014.csv, 7.683157e+05
Wave223.csv, 7.690713e+05
Wave036.csv, 7.718476e+05
Wave298.csv, 7.780709e+05
Wave395.csv, 7.782506e+05
Wave256.csv, 7.825439e+05
Wave122.csv, 7.860394e+05
Wave088.csv, 7.870658e+05
Wave070.csv, 7.909534e+05
Wave347.csv, 7.945615e+05
Wave310.csv, 7.947067e+05
Wave012.csv, 7.962383e+05
Wave189.csv, 7.992619e+05
Wave280.csv, 7.994208e+05
Wave009.csv, 8.005563e+05
Wave309.csv, 8.023736e+05
Wave196.csv, 8.051047e+05
Wave416.csv, 8.051452e+05
Wave158.csv, 8.065651e+05
Wave127.csv, 8.094060e+05
Wave106.csv, 8.099994e+05
Wave008.csv, 8.107212e+05
Wave419.csv, 8.144230e+05
Wave273.csv, 8.163065e+05
Wave197.csv, 8.236120e+05
Wave255.csv, 8.342419e+05
Wave148.csv, 8.361071e+05
Wave025.csv, 8.382091e+05
Wave288.csv, 8.411884e+05
Wave328.csv, 8.415829e+05
Wave336.csv, 8.475966e+05
Wave262.csv, 8.496816e+05
Wave188.csv, 8.506875e+05
Wave165.csv, 8.664209e+05
Wave324.csv, 8.664397e+05
Wave037.csv, 8.676676e+05
Wave293.csv, 8.685509e+05
Wave103.csv, 8.712155e+05
Wave213.csv, 8.747480e+05
Wave286.csv, 8.750172e+05
Wave117.csv, 8.792664e+05
Wave354.csv, 8.838993e+05
Wave124.csv, 8.895960e+05
Wave246.csv, 8.904860e+05
Wave049.csv, 8.963465e+05
Wave374.csv, 9.004361e+05
Wave361.csv, 9.072279e+05
Wave318.csv, 9.112768e+05
Wave265.csv, 9.119083e+05
Wave302.csv, 9.120939e+05
Wave351.csv, 9.137095e+05
Wave140.csv, 9.155126e+05
Wave035.csv, 9.168481e+05
Wave378.csv, 9.189071e+05
Wave299.csv, 9.190367e+05
Wave217.csv, 9.229138e+05
Wave260.csv, 9.266395e+05
Wave082.csv, 9.278065e+05
Wave368.csv, 9.344136e+05
Wave077.csv, 9.466513e+05
Wave003.csv, 9.573996e+05
Wave285.csv, 9.627377e+05
Wave379.csv, 9.637391e+05
Wave029.csv, 9.695596e+05
Wave270.csv, 9.770548e+05
